InstitutionName	TermType	Courses
Boston University	semesters	16
Carnegie Mellon University	semesters	12
Cornell University	semesters	10
CUNY Queens College	semesters	13
Dartmouth	quarters	11
Gallaudet University		
Georgetown University	semesters	14
Harvard University	semesters	12
Indiana University-Bloomington	semesters	11
Johns Hopkins University		
McGill	semesters	12
Memorial University of Newfoundland		
Michigan State University	semesters	11
MIT	semesters	11
New York University	semesters	9
Northwestern University	quarters	12
Ohio State University-Main Campus	semesters	11
Purdue University-Main Campus	quarters	11
Rice University	semesters	12
Rutgers University-New Brunswick	semesters	12
San Diego State University	semesters	14
Simon Fraser University		
Stanford University	quarters	9
Stony Brook University (SUNY)	semesters	11.5
University at Buffalo (SUNY)	semesters	12
University of Alberta		
University of Arizona	semesters	12
University of British Columbia	semesters	14
University of Calgary		
University of California-Berkeley	semesters	9
University of California-Davis		
University of California-Los Angeles	quarters	14
University of California-San Diego	quarters	12
University of California-Santa Barbara	quarters	20
University of California-Santa Cruz	quarters	12
University of Chicago	quarters	13
University of Colorado-Boulder	semesters	11
University of Connecticut		
University of Delaware	semesters	10
University of Florida	semesters	13
University of Georgia	semesters	9
University of Hawaii-Manoa	semesters	12
University of Illinois-Urbana-Champaign	semesters	14
University of Iowa	semesters	10
University of Kansas	semesters	10
University of Louisiana-Lafayette	semesters	12
University of Manitoba		
University of Maryland-College Park	semesters	13
University of Massachusetts-Amherst	semesters	14
University of Michigan-Ann Arbor	semesters	10
University of Minnesota-Twin Cities	semesters	11
University of New Mexico-Main Campus	semesters	10
University of Oregon	semesters	13
University of Ottawa		
University of Pennsylvania	semesters	14
University of Pittsburgh		
University of Rochester		
University of South Carolina		
University of Southern California	semesters	8
University of Texas-Arlington		
University of Texas-Austin	semesters	9
University of Toronto	semesters	14
University of Utah		
University of Victoria		
University of Washington-Seattle Campus	quarters	14
University of Wisconsin-Madison	semesters	10
University of Wisconsin-Milwaukee		
Yale University	semesters	12
York University		
