School,Total,LX,LX,LX,TESL/TEFL,LX & Spanish,LX & Philosophy,Computational LX,Cognitive Science,LX & French,LX & Computer Science,LX & Japanese,ASL/Deaf Studies,TESOL,LX & Anthropology,LX & German,LX & Psychology,"Language, Culture, and Society",LX & Italian,Computational LX,"LX & Mind, Brain, and Behavior",TESOL,LX & English,LX & Language Studies,LX & Language Studies,LX & Cognition,Cognitive Science,LX & African Languages,"LX & Speech, Language, and Hearing Sciences",Communication Sciences and Disorders,LX & Related Field,Computational LX,Language and Mind,Speech and Hearing Sciences,Text Analytics,LX & Asian Languages and Cultures,Applied LX,Speech and Language Sciences,Speech and Language Sciences,Language & Speech Technologies,LX & Language and Speech Technologies,LX & Chinese,LX & Slavic,LX & Speech-Language Sciences and Disorders,Sociocultural LX,Speech-Language Sciences and Disorders,"Sociocultural, Anthropological & Interactional Linguistics (SAIL)
",Cognitive Science,LX & TESL,LX & Portuguese,"Second Language Acquisition and Teaching (SLAT)
"
Degree,,BA or BS,Minor,BA/MA,Minor,BA,BA,BA or BS,BA or BS,BA,BA or BS,BA,Minor,BA,BA,BA,BA,BA,BA,Minor,BA,Certificate,BA,BA,Minor,BA,Minor,BA,BA,BA,BA,BS/MS,BS,Certificate,Minor,BA,BA,BA,Minor,Minor,BA,BA,BA,BA,Minor,Minor,BA,BS/MA,BA,BA,Certificate
Total,189,48,43,8,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boston University,11,1,1,1,,1,1,,,1,1,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Carnegie Mellon University,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,3,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUNY,5,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Georgetown University,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard University,4,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Indiana University at Bloomington,6,1,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Johns Hopkins University,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State University,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New York University,8,1,1,,,1,,,,1,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern U,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State University Main Campus,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice University,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers University at New Brunswick,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
San Diego State University,5,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Stanford University,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
