InstitutionName	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998
Boston University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	6	1	6	0	0	0	0	0	0
Carnegie Mellon University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cornell University	8	3	4	2	8	5	1	2	2	4	2	7	2	6	4	4	1	5	8	4	2	3	1	9	5	9
CUNY Queens College	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dartmouth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gallaudet University	0	0	0	0	0	0	0	0	1	3	2	4	4	1	0	0	0	0	1	0	0	0	0	0	0	0
Georgetown University	8	11	11	11	8	8	9	12	9	11	15	12	10	5	0	8	15	12	12	8	13	7	9	22	12	12
Harvard University	3	4	3	1	6	4	1	3	3	2	4	4	6	1	0	0	5	2	1	4	3	3	1	0	1	5
Indiana University-Bloomington	7	9	8	8	10	6	5	9	7	8	7	11	8	12	8	6	7	4	2	6	4	6	5	8	8	12
Johns Hopkins University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
McGill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Memorial University of Newfoundland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michigan State University	6	5	8	12	12	8	13	9	11	7	6	9	8	1	1	1	6	5	3	8	5	2	5	3	4	2
MIT	5	0	4	4	10	9	4	5	5	8	8	7	4	3	0	0	6	0	5	3	17	9	11	0	0	0
New York University	0	0	0	0	9	6	6	7	9	3	2	9	7	7	3	4	1	3	2	3	2	2	1	1	2	2
Northwestern University	1	1	3	3	1	3	2	5	4	0	2	2	5	2	0	4	4	3	2	1	0	2	4	2	5	2
Ohio State University-Main Campus	1	5	5	1	2	2	3	3	5	8	5	6	6	6	0	0	5	6	6	8	2	13	7	4	5	4
Purdue University-Main Campus	5	3	2	3	2	2	3	5	0	1	1	4	5	3	0	5	3	1	2	3	1	0	0	0	0	0
Rice University	0	0	0	1	4	2	4	0	1	2	4	2	7	3	1	0	3	3	0	0	2	3	4	1	6	1
Rutgers University-New Brunswick	6	4	4	2	4	4	5	0	3	5	2	2	2	1	5	1	1	3	5	3	4	1	3	4	1	0
San Diego State University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simon Fraser University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stanford University	6	3	4	4	8	8	4	3	5	4	7	4	3	5	7	3	10	5	7	3	1	9	4	1	1	9
Stony Brook University (SUNY)	3	6	5	3	6	5	1	2	2	0	5	4	2	2	0	3	2	5	1	0	2	0	2	3	1	0
University at Buffalo (SUNY)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Alberta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Arizona	6	4	6	5	7	6	8	2	5	9	2	5	2	4	0	0	9	1	0	2	7	1	2	1	5	5
University of British Columbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Calgary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of California-Berkeley	6	3	6	4	4	8	6	7	4	5	4	6	9	6	7	4	5	7	5	6	6	9	3	8	3	6
University of California-Davis	3	0	1	4	3	6	3	3	6	3	3	1	1	6	3	1	0	0	0	0	0	0	0	0	0	0
University of California-Los Angeles	6	4	9	5	8	5	12	4	13	14	17	9	15	5	14	17	16	14	10	16	15	6	7	6	7	4
University of California-San Diego	1	3	2	2	0	4	1	6	2	1	2	1	1	2	1	1	0	0	0	4	1	0	1	2	4	2
University of California-Santa Barbara	7	3	6	2	4	2	2	5	4	2	2	2	5	0	6	4	4	2	4	3	1	0	5	5	3	8
University of California-Santa Cruz	3	3	1	4	3	5	2	2	0	6	2	1	1	4	3	4	1	4	2	3	3	1	3	0	1	3
University of Chicago	3	8	9	3	6	7	2	4	4	1	3	5	3	5	0	5	2	5	3	4	12	2	4	8	6	1
University of Colorado-Boulder	2	2	3	6	0	2	6	3	7	4	3	3	1	8	6	1	1	3	3	0	3	2	3	2	4	3
University of Connecticut	5	0	8	3	4	4	3	5	5	3	5	6	4	0	0	2	4	0	2	4	7	4	5	0	0	0
University of Delaware	2	4	3	4	1	5	4	7	2	4	3	1	5	3	4	1	1	8	3	1	5	3	2	7	2	3
University of Florida	6	6	3	3	5	6	5	3	10	8	5	1	8	4	5	2	3	6	1	1	0	6	4	4	6	6
University of Georgia	3	5	2	4	4	1	2	8	3	4	0	4	2	6	6	5	6	8	8	4	4	3	3	1	1	1
University of Hawaii-Manoa	10	4	14	18	6	18	10	12	20	12	24	10	16	0	14	12	4	7	16	10	2	10	20	13	11	5
University of Illinois-Urbana-Champaign	5	6	5	4	8	8	8	4	5	9	7	5	12	4	0	12	8	4	4	6	3	4	9	5	13	11
University of Iowa	0	0	0	0	0	1	3	0	1	1	2	0	0	5	0	2	0	0	0	0	0	0	3	1	1	0
University of Kansas	6	2	5	2	1	4	6	3	4	2	10	2	4	2	0	2	4	2	3	4	4	1	2	1	4	1
University of Louisiana-Lafayette	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Manitoba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Maryland-College Park	3	6	7	4	4	4	3	6	8	8	2	9	4	6	0	5	10	5	5	8	1	3	3	6	6	2
University of Massachusetts-Amherst	4	3	9	5	3	7	3	5	5	1	4	9	2	7	0	0	3	4	6	5	3	6	2	6	6	5
University of Michigan-Ann Arbor	7	5	4	7	1	1	1	6	0	4	3	5	6	1	0	0	4	6	1	7	1	1	4	1	4	7
University of Minnesota-Twin Cities	0	1	1	1	0	0	0	1	2	2	3	7	1	4	0	0	1	0	2	0	5	2	0	1	2	4
University of New Mexico-Main Campus	1	2	2	3	5	6	5	3	3	3	0	1	1	5	0	0	1	2	2	0	2	2	1	1	0	1
University of Oregon	6	2	3	6	7	2	3	3	2	3	6	4	3	4	0	0	1	2	0	1	6	1	4	1	4	0
University of Ottawa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Pennsylvania	1	4	4	12	6	3	4	4	5	4	5	1	5	6	5	6	4	9	4	4	9	1	6	4	3	7
University of Pittsburgh	1	0	1	2	3	3	1	3	2	7	4	5	0	0	0	0	0	0	0	0	1	2	2	0	0	0
University of Rochester	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0
University of South Carolina	7	0	3	0	3	2	2	5	1	3	5	1	2	2	0	2	5	0	0	1	1	2	4	0	0	0
University of Southern California	18	5	10	6	8	12	10	10	8	10	8	12	10	4	2	12	16	5	4	4	16	4	14	3	8	5
University of Texas-Arlington	1	0	4	2	2	4	1	3	1	1	4	3	4	6	0	0	2	0	4	3	4	1	2	0	0	0
University of Texas-Austin	3	2	4	5	4	6	3	7	13	7	4	8	6	10	0	0	9	5	5	7	3	2	6	10	6	3
University of Toronto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Utah	1	0	0	1	1	2	4	3	2	3	4	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0
University of Victoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
University of Washington-Seattle Campus	1	4	5	8	6	6	4	6	4	1	3	2	2	0	4	1	2	1	5	6	4	1	3	5	4	6
University of Wisconsin-Madison	0	0	0	2	2	2	3	2	3	1	1	0	0	0	0	0	0	4	0	4	3	4	3	1	3	4
University of Wisconsin-Milwaukee	2	0	3	1	6	1	1	4	0	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Yale University	1	3	3	3	4	4	3	2	2	3	1	1	1	4	0	4	2	1	0	3	1	0	1	4	1	0
York University	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
